#chr	pos	coverage
H1N1_HA	332	52
H1N1_HA	333	52
H1N1_HA	334	51
H1N1_HA	335	52
H1N1_HA	336	52
H1N1_HA	337	52
H1N1_HA	338	54
H1N1_HA	339	58
H1N1_HA	340	61
H1N1_HA	341	60
H1N1_HA	342	60
H1N1_HA	343	60
H1N1_HA	344	60
H1N1_HA	345	60
H1N1_HA	346	63
H1N1_HA	347	63
H1N1_HA	348	63
H1N1_HA	349	64
H1N1_HA	350	64
H1N1_HA	351	66
H1N1_HA	352	66
H1N1_HA	353	66
H1N1_HA	354	67
H1N1_HA	355	66
H1N1_HA	356	68
H1N1_HA	357	69
H1N1_HA	358	68
H1N1_HA	359	69
H1N1_HA	360	69
H1N1_HA	361	69
H1N1_HA	362	69
H1N1_HA	363	68
H1N1_HA	364	67
H1N1_HA	365	67
H1N1_HA	366	65
H1N1_HA	367	64
H1N1_HA	368	64
H1N1_HA	369	65
H1N1_HA	370	65
H1N1_HA	371	66
H1N1_HA	372	66
H1N1_HA	373	68
H1N1_HA	374	67
H1N1_HA	375	66
H1N1_HA	376	66
H1N1_HA	377	66
H1N1_HA	378	68
H1N1_HA	379	69
H1N1_HA	380	70
H1N1_HA	381	71
H1N1_HA	382	72
H1N1_HA	383	75
H1N1_HA	384	75
H1N1_HA	385	73
H1N1_HA	386	72
H1N1_HA	387	72
H1N1_HA	388	73
H1N1_HA	389	73
H1N1_HA	390	76
H1N1_HA	391	79
H1N1_HA	392	78
H1N1_HA	393	78
H1N1_HA	394	78
H1N1_HA	395	79
H1N1_HA	396	79
H1N1_HA	397	79
H1N1_HA	398	80
H1N1_HA	399	80
H1N1_HA	400	78
H1N1_HA	401	78
H1N1_HA	402	78
H1N1_HA	403	78
H1N1_HA	404	77
H1N1_HA	405	76
H1N1_HA	406	78
H1N1_HA	407	78
H1N1_HA	408	78
H1N1_HA	409	79
H1N1_HA	410	79
H1N1_HA	411	81
H1N1_HA	412	83
H1N1_HA	413	83
H1N1_HA	414	81
H1N1_HA	415	81
H1N1_HA	416	82
H1N1_HA	417	82
H1N1_HA	418	84
H1N1_HA	419	85
H1N1_HA	420	84
H1N1_HA	421	84
H1N1_HA	422	84
H1N1_HA	423	82
H1N1_HA	424	82
H1N1_HA	425	82
H1N1_HA	426	84
H1N1_HA	427	84
H1N1_HA	428	87
H1N1_HA	429	92
H1N1_HA	430	91
H1N1_HA	431	91
H1N1_HA	432	91
H1N1_HA	433	91
H1N1_HA	434	94
H1N1_HA	435	94
H1N1_HA	436	94
H1N1_HA	437	93
H1N1_HA	438	93
H1N1_HA	439	93
H1N1_HA	440	93
H1N1_HA	441	93
H1N1_HA	442	93
H1N1_HA	443	91
H1N1_HA	444	94
H1N1_HA	445	92
H1N1_HA	446	88
H1N1_HA	447	88
H1N1_HA	448	88
H1N1_HA	449	89
H1N1_HA	450	90
H1N1_HA	451	90
H1N1_HA	452	90
H1N1_HA	453	90
H1N1_HA	454	90
H1N1_HA	455	90
H1N1_HA	456	90
H1N1_HA	457	92
H1N1_HA	458	93
H1N1_HA	459	93
H1N1_HA	460	93
H1N1_HA	461	93
H1N1_HA	462	92
H1N1_HA	463	92
H1N1_HA	464	92
H1N1_HA	465	91
H1N1_HA	466	88
H1N1_HA	467	85
H1N1_HA	468	84
H1N1_HA	469	85
H1N1_HA	470	87
H1N1_HA	471	87
H1N1_HA	472	87
H1N1_HA	473	90
H1N1_HA	474	90
H1N1_HA	475	90
H1N1_HA	476	95
H1N1_HA	477	98
H1N1_HA	478	100
H1N1_HA	479	101
H1N1_HA	480	101
H1N1_HA	481	102
H1N1_HA	482	102
H1N1_HA	483	102
H1N1_HA	484	103
H1N1_HA	485	104
H1N1_HA	486	104
H1N1_HA	487	104
H1N1_HA	488	106
H1N1_HA	489	106
H1N1_HA	490	104
H1N1_HA	491	104
H1N1_HA	492	106
H1N1_HA	493	109
H1N1_HA	494	109
H1N1_HA	495	107
H1N1_HA	496	109
H1N1_HA	497	109
H1N1_HA	498	110
H1N1_HA	499	110
H1N1_HA	500	109
H1N1_HA	501	109
H1N1_HA	502	107
H1N1_HA	503	107
H1N1_HA	504	107
H1N1_HA	505	106
H1N1_HA	506	107
H1N1_HA	507	105
H1N1_HA	508	104
H1N1_HA	509	104
H1N1_HA	510	103
H1N1_HA	511	103
H1N1_HA	512	104
H1N1_HA	513	104
H1N1_HA	514	106
H1N1_HA	515	106
H1N1_HA	516	106
H1N1_HA	517	104
H1N1_HA	518	104
H1N1_HA	519	106
H1N1_HA	520	105
H1N1_HA	521	105
H1N1_HA	522	104
H1N1_HA	523	104
H1N1_HA	524	102
H1N1_HA	525	102
H1N1_HA	526	102
H1N1_HA	527	103
H1N1_HA	528	103
H1N1_HA	529	101
H1N1_HA	530	100
H1N1_HA	531	99
H1N1_HA	532	98
H1N1_HA	533	99
H1N1_HA	534	96
H1N1_HA	535	96
H1N1_HA	536	96
H1N1_HA	537	96
H1N1_HA	538	96
H1N1_HA	539	91
H1N1_HA	540	91
H1N1_HA	541	88
H1N1_HA	542	87
H1N1_HA	543	87
H1N1_HA	544	87
H1N1_HA	545	87
H1N1_HA	546	86
H1N1_HA	547	86
H1N1_HA	548	88
H1N1_HA	549	87
H1N1_HA	550	87
H1N1_HA	551	87
H1N1_HA	552	87
H1N1_HA	553	87
H1N1_HA	554	87
H1N1_HA	555	85
H1N1_HA	556	87
H1N1_HA	557	84
H1N1_HA	558	85
H1N1_HA	559	85
H1N1_HA	560	85
H1N1_HA	561	85
H1N1_HA	562	79
H1N1_HA	563	81
H1N1_HA	564	79
H1N1_HA	565	79
H1N1_HA	566	79
H1N1_HA	567	77
H1N1_HA	568	86
H1N1_HA	569	86
H1N1_HA	570	87
H1N1_HA	571	89
H1N1_HA	572	90
H1N1_HA	573	91
H1N1_HA	574	92
H1N1_HA	575	93
H1N1_HA	576	93
H1N1_HA	577	93
H1N1_HA	578	93
H1N1_HA	579	90
H1N1_HA	580	87
H1N1_HA	581	88
H1N1_HA	582	86
H1N1_HA	583	86
H1N1_HA	584	86
H1N1_HA	585	87
H1N1_HA	586	91
H1N1_HA	587	93
H1N1_HA	588	93
H1N1_HA	589	96
H1N1_HA	590	97
H1N1_HA	591	97
H1N1_HA	592	97
H1N1_HA	593	97
H1N1_HA	594	99
H1N1_HA	595	99
H1N1_HA	596	99
H1N1_HA	597	99
H1N1_HA	598	99
H1N1_HA	599	98
H1N1_HA	600	97
H1N1_HA	601	96
H1N1_HA	602	96
H1N1_HA	603	96
H1N1_HA	604	98
H1N1_HA	605	96
H1N1_HA	606	98
H1N1_HA	607	102
H1N1_HA	608	102
H1N1_HA	609	100
H1N1_HA	610	100
H1N1_HA	611	103
H1N1_HA	612	101
H1N1_HA	613	101
H1N1_HA	614	104
H1N1_HA	615	106
H1N1_HA	616	104
H1N1_HA	617	104
H1N1_HA	618	105
H1N1_HA	619	100
H1N1_HA	620	99
H1N1_HA	621	97
H1N1_HA	622	97
H1N1_HA	623	97
H1N1_HA	624	94
H1N1_HA	625	94
H1N1_HA	626	91
H1N1_HA	627	90
H1N1_HA	628	87
H1N1_HA	629	87
H1N1_HA	630	85
H1N1_HA	631	85
H1N1_HA	632	85
H1N1_HA	633	85
H1N1_HA	634	85
H1N1_HA	635	85
H1N1_HA	636	84
H1N1_HA	637	84
H1N1_HA	638	84
H1N1_HA	639	81
H1N1_HA	640	81
H1N1_HA	641	81
H1N1_HA	642	80
H1N1_HA	643	79
H1N1_HA	644	78
H1N1_HA	645	79
H1N1_HA	646	80
H1N1_HA	647	78
H1N1_HA	648	80
H1N1_HA	649	80
H1N1_HA	650	80
H1N1_HA	651	80
H1N1_HA	652	78
H1N1_HA	653	76
H1N1_HA	654	77
H1N1_HA	655	77
H1N1_HA	656	78
H1N1_HA	657	77
H1N1_HA	658	77
H1N1_HA	659	77
H1N1_HA	660	77
H1N1_HA	661	77
H1N1_HA	662	77
H1N1_HA	663	76
H1N1_HA	664	76
H1N1_HA	665	77
H1N1_HA	666	77
H1N1_HA	667	77
H1N1_HA	668	78
H1N1_HA	669	78
H1N1_HA	670	79
H1N1_HA	671	81
H1N1_HA	672	82
H1N1_HA	673	82
H1N1_HA	674	83
H1N1_HA	675	83
H1N1_HA	676	83
H1N1_HA	677	83
H1N1_HA	678	81
H1N1_HA	679	82
H1N1_HA	680	86
H1N1_HA	681	100
H1N1_HA	682	102
H1N1_HA	683	102
H1N1_HA	684	101
H1N1_HA	685	100
H1N1_HA	686	102
H1N1_HA	687	102
H1N1_HA	688	102
H1N1_HA	689	103
H1N1_HA	690	103
H1N1_HA	691	103
H1N1_HA	692	103
H1N1_HA	693	103
H1N1_HA	694	104
H1N1_HA	695	104
H1N1_HA	696	104
H1N1_HA	697	104
H1N1_HA	698	104
H1N1_HA	699	98
H1N1_HA	700	98
H1N1_HA	701	98
H1N1_HA	702	97
H1N1_HA	703	97
H1N1_HA	704	98
H1N1_HA	705	99
H1N1_HA	706	99
H1N1_HA	707	97
H1N1_HA	708	96
H1N1_HA	709	95
H1N1_HA	710	96
H1N1_HA	711	93
H1N1_HA	712	93
H1N1_HA	713	93
H1N1_HA	714	93
H1N1_HA	715	90
H1N1_HA	716	91
H1N1_HA	717	91
H1N1_HA	718	91
H1N1_HA	719	92
H1N1_HA	720	92
H1N1_HA	721	91
H1N1_HA	722	87
H1N1_HA	723	88
H1N1_HA	724	87
H1N1_HA	725	86
H1N1_HA	726	85
H1N1_HA	727	85
H1N1_HA	728	85
H1N1_HA	729	85
H1N1_HA	730	84
H1N1_HA	731	84
H1N1_HA	732	83
H1N1_HA	733	83
H1N1_HA	734	83
H1N1_HA	735	83
H1N1_HA	736	81
H1N1_HA	737	81
H1N1_HA	738	80
H1N1_HA	739	80
H1N1_HA	740	77
H1N1_HA	741	74
H1N1_HA	742	74
H1N1_HA	743	75
H1N1_HA	744	76
H1N1_HA	745	74
H1N1_HA	746	73
H1N1_HA	747	74
H1N1_HA	748	74
H1N1_HA	749	72
H1N1_HA	750	77
H1N1_HA	751	77
H1N1_HA	752	77
H1N1_HA	753	78
H1N1_HA	754	79
H1N1_HA	755	77
H1N1_HA	756	77
H1N1_HA	757	78
H1N1_HA	758	74
H1N1_HA	759	74
H1N1_HA	760	75
H1N1_HA	761	75
H1N1_HA	762	71
H1N1_HA	763	71
H1N1_HA	764	71
H1N1_HA	765	68
H1N1_HA	766	68
H1N1_HA	767	68
H1N1_HA	768	68
H1N1_HA	769	67
H1N1_HA	770	67
H1N1_HA	771	67
H1N1_HA	772	71
H1N1_HA	773	71
H1N1_HA	774	71
H1N1_HA	775	72
H1N1_HA	776	72
H1N1_HA	777	73
H1N1_HA	778	73
H1N1_HA	779	73
H1N1_HA	780	73
H1N1_HA	781	72
H1N1_HA	782	72
H1N1_HA	783	75
H1N1_HA	784	75
H1N1_HA	785	75
H1N1_HA	786	74
H1N1_HA	787	74
H1N1_HA	788	76
H1N1_HA	789	78
H1N1_HA	790	79
H1N1_HA	791	79
H1N1_HA	792	79
H1N1_HA	793	80
H1N1_HA	794	81
H1N1_HA	795	82
H1N1_HA	796	83
H1N1_HA	797	80
H1N1_HA	798	81
H1N1_HA	799	80
H1N1_HA	800	79
H1N1_HA	801	79
H1N1_HA	802	79
H1N1_HA	803	80
H1N1_HA	804	80
H1N1_HA	805	77
H1N1_HA	806	84
H1N1_HA	807	83
H1N1_HA	808	83
H1N1_HA	809	83
H1N1_HA	810	81
H1N1_HA	811	81
H1N1_HA	812	84
H1N1_HA	813	85
H1N1_HA	814	85
H1N1_HA	815	85
H1N1_HA	816	84
H1N1_HA	817	82
H1N1_HA	818	82
H1N1_HA	819	81
H1N1_HA	820	79
H1N1_HA	821	78
H1N1_HA	822	74
H1N1_HA	823	73
H1N1_HA	824	73
H1N1_HA	825	72
H1N1_HA	826	72
H1N1_HA	827	73
H1N1_HA	828	74
H1N1_HA	829	74
H1N1_HA	830	73
H1N1_HA	831	72
H1N1_HA	832	66
H1N1_HA	833	64
H1N1_HA	834	66
H1N1_HA	835	66
H1N1_HA	836	65
H1N1_HA	837	63
H1N1_HA	838	63
H1N1_HA	839	63
H1N1_HA	840	62
H1N1_HA	841	62
H1N1_HA	842	63
H1N1_HA	843	63
H1N1_HA	844	63
H1N1_HA	845	64
H1N1_HA	846	64
H1N1_HA	847	66
H1N1_HA	848	66
H1N1_HA	849	66
H1N1_HA	850	66
H1N1_HA	851	66
H1N1_HA	852	67
H1N1_HA	853	66
H1N1_HA	854	66
H1N1_HA	855	65
H1N1_HA	856	66
H1N1_HA	857	66
H1N1_HA	858	64
H1N1_HA	859	64
H1N1_HA	860	64
H1N1_HA	861	62
H1N1_HA	862	62
H1N1_HA	863	62
H1N1_HA	864	62
H1N1_HA	865	63
H1N1_HA	866	63
H1N1_HA	867	63
H1N1_HA	868	63
H1N1_HA	869	63
H1N1_HA	870	62
H1N1_HA	871	62
H1N1_HA	872	62
H1N1_HA	873	62
H1N1_HA	874	60
H1N1_HA	875	61
H1N1_HA	876	62
H1N1_HA	877	62
H1N1_HA	878	62
H1N1_HA	879	62
H1N1_HA	880	62
H1N1_HA	881	62
H1N1_HA	882	62
H1N1_HA	883	60
H1N1_HA	884	60
H1N1_HA	885	60
H1N1_HA	886	61
H1N1_HA	887	61
H1N1_HA	888	61
H1N1_HA	889	60
H1N1_HA	890	60
H1N1_HA	891	61
H1N1_HA	892	61
H1N1_HA	893	64
H1N1_HA	894	67
H1N1_HA	895	67
H1N1_HA	896	67
H1N1_HA	897	67
H1N1_HA	898	67
H1N1_HA	899	69
H1N1_HA	900	69
H1N1_HA	901	68
H1N1_HA	902	68
H1N1_HA	903	68
H1N1_HA	904	65
H1N1_HA	905	64
H1N1_HA	906	64
H1N1_HA	907	64
H1N1_HA	908	64
H1N1_HA	909	64
H1N1_HA	910	64
H1N1_HA	911	63
H1N1_HA	912	63
H1N1_HA	913	63
H1N1_HA	914	61
H1N1_HA	915	61
H1N1_HA	916	63
H1N1_HA	917	63
H1N1_HA	918	62
H1N1_HA	919	62
H1N1_HA	920	62
H1N1_HA	921	63
H1N1_HA	922	63
H1N1_HA	923	63
H1N1_HA	924	62
H1N1_HA	925	63
H1N1_HA	926	63
H1N1_HA	927	62
H1N1_HA	928	62
H1N1_HA	929	62
H1N1_HA	930	62
H1N1_HA	931	64
H1N1_HA	932	62
H1N1_HA	933	63
H1N1_HA	934	62
H1N1_HA	935	63
H1N1_HA	936	63
H1N1_HA	937	63
H1N1_HA	938	64
H1N1_HA	939	59
H1N1_HA	940	59
H1N1_HA	941	58
H1N1_HA	942	60
H1N1_HA	943	60
H1N1_HA	944	55
H1N1_HA	945	54
H1N1_HA	946	54
H1N1_HA	947	58
H1N1_HA	948	58
H1N1_HA	949	57
H1N1_HA	950	58
H1N1_HA	951	59
H1N1_HA	952	60
H1N1_HA	953	60
H1N1_HA	954	59
H1N1_HA	955	60
H1N1_HA	956	60
H1N1_HA	957	55
H1N1_HA	958	55
H1N1_HA	959	55
H1N1_HA	960	55
H1N1_HA	961	56
H1N1_HA	962	56
H1N1_HA	963	57
H1N1_HA	964	56
H1N1_HA	965	56
H1N1_HA	966	59
H1N1_HA	967	59
H1N1_HA	968	59
H1N1_HA	969	59
H1N1_HA	970	62
H1N1_HA	971	62
H1N1_HA	972	63
H1N1_HA	973	63
H1N1_HA	974	62
H1N1_HA	975	62
H1N1_HA	976	62
H1N1_HA	977	63
H1N1_HA	978	65
H1N1_HA	979	64
H1N1_HA	980	66
H1N1_HA	981	66
H1N1_HA	982	66
H1N1_HA	983	66
H1N1_HA	984	66
H1N1_HA	985	69
H1N1_HA	986	69
H1N1_HA	987	69
H1N1_HA	988	69
H1N1_HA	989	69
H1N1_HA	990	69
H1N1_HA	991	69
H1N1_HA	992	69
H1N1_HA	993	68
H1N1_HA	994	70
H1N1_HA	995	71
H1N1_HA	996	72
H1N1_HA	997	73
H1N1_HA	998	73
H1N1_HA	999	73
H1N1_HA	1000	73
H1N1_HA	1001	73
H1N1_HA	1002	73
H1N1_HA	1003	72
H1N1_HA	1004	75
H1N1_HA	1005	75
H1N1_HA	1006	80
H1N1_HA	1007	79
H1N1_HA	1008	79
H1N1_HA	1009	79
H1N1_HA	1010	80
H1N1_HA	1011	81
H1N1_HA	1012	82
H1N1_HA	1013	83
H1N1_HA	1014	83
H1N1_HA	1015	83
H1N1_HA	1016	80
H1N1_HA	1017	82
H1N1_HA	1018	83
H1N1_HA	1019	83
H1N1_HA	1020	83
H1N1_HA	1021	83
H1N1_HA	1022	88
H1N1_HA	1023	90
H1N1_HA	1024	93
H1N1_HA	1025	93
H1N1_HA	1026	95
H1N1_HA	1027	94
H1N1_HA	1028	94
H1N1_HA	1029	94
H1N1_HA	1030	94
H1N1_HA	1031	96
H1N1_HA	1032	97
H1N1_HA	1033	101
H1N1_HA	1034	101
H1N1_HA	1035	100
H1N1_HA	1036	101
H1N1_HA	1037	100
H1N1_HA	1038	100
H1N1_HA	1039	101
H1N1_HA	1040	105
H1N1_HA	1041	108
H1N1_HA	1042	108
H1N1_HA	1043	105
H1N1_HA	1044	102
H1N1_HA	1045	98
H1N1_HA	1046	98
H1N1_HA	1047	100
H1N1_HA	1048	100
H1N1_HA	1049	99
H1N1_HA	1050	99
H1N1_HA	1051	99
H1N1_HA	1052	99
H1N1_HA	1053	99
H1N1_HA	1054	100
H1N1_HA	1055	100
H1N1_HA	1056	100
H1N1_HA	1057	100
H1N1_HA	1058	101
H1N1_HA	1059	100
H1N1_HA	1060	102
H1N1_HA	1061	102
H1N1_HA	1062	105
H1N1_HA	1063	105
H1N1_HA	1064	104
H1N1_HA	1065	104
H1N1_HA	1066	106
H1N1_HA	1067	107
H1N1_HA	1068	107
H1N1_HA	1069	107
H1N1_HA	1070	108
H1N1_HA	1071	109
H1N1_HA	1072	108
H1N1_HA	1073	108
H1N1_HA	1074	108
H1N1_HA	1075	108
H1N1_HA	1076	107
H1N1_HA	1077	119
H1N1_HA	1078	121
H1N1_HA	1079	122
H1N1_HA	1080	127
H1N1_HA	1081	128
H1N1_HA	1082	127
H1N1_HA	1083	130
H1N1_HA	1084	131
H1N1_HA	1085	131
H1N1_HA	1086	130
H1N1_HA	1087	130
H1N1_HA	1088	130
H1N1_HA	1089	129
H1N1_HA	1090	129
H1N1_HA	1091	129
H1N1_HA	1092	130
H1N1_HA	1093	130
H1N1_HA	1094	130
H1N1_HA	1095	130
H1N1_HA	1096	130
H1N1_HA	1097	130
H1N1_HA	1098	127
H1N1_HA	1099	129
H1N1_HA	1100	129
H1N1_HA	1101	128
H1N1_HA	1102	128
H1N1_HA	1103	127
H1N1_HA	1104	129
H1N1_HA	1105	131
H1N1_HA	1106	128
H1N1_HA	1107	128
H1N1_HA	1108	128
H1N1_HA	1109	128
H1N1_HA	1110	130
H1N1_HA	1111	131
H1N1_HA	1112	130
H1N1_HA	1113	131
H1N1_HA	1114	133
H1N1_HA	1115	134
H1N1_HA	1116	134
H1N1_HA	1117	131
H1N1_HA	1118	131
H1N1_HA	1119	131
H1N1_HA	1120	131
H1N1_HA	1121	132
H1N1_HA	1122	132
H1N1_HA	1123	131
H1N1_HA	1124	133
H1N1_HA	1125	132
H1N1_HA	1126	130
H1N1_HA	1127	130
H1N1_HA	1128	129
H1N1_HA	1129	126
H1N1_HA	1130	126
H1N1_HA	1131	125
H1N1_HA	1132	125
H1N1_HA	1133	125
H1N1_HA	1134	126
H1N1_HA	1135	126
H1N1_HA	1136	125
H1N1_HA	1137	125
H1N1_HA	1138	125
H1N1_HA	1139	125
H1N1_HA	1140	125
H1N1_HA	1141	125
H1N1_HA	1142	125
H1N1_HA	1143	125
H1N1_HA	1144	125
H1N1_HA	1145	127
H1N1_HA	1146	120
H1N1_HA	1147	119
H1N1_HA	1148	116
H1N1_HA	1149	116
H1N1_HA	1150	122
H1N1_HA	1151	124
H1N1_HA	1152	123
